Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68e254cb975681ef924d117a,663d8f0edfd87b4c1f590b99,APPROVED,Not Applicable,2025-10-05T11:21:47.706000Z,2025-10-05T11:22:43.299000Z,2025-10-05T11:22:46.334000Z,2025-10-05T11:22:44.065759Z,56.0,C4H367G4,5347,31,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e254f2d65f23e12242f8d4,5dc483cf74939e34e55c3619,APPROVED,Not Applicable,2025-10-05T11:22:31.410000Z,2025-10-05T11:23:42.760000Z,2025-10-05T11:23:45.970000Z,2025-10-05T11:23:43.561244Z,72.0,C4H367G4,13264,75,Male,White,United States,United States,United States,English,No,Part-Time
68e254f403168b2004cfcdb3,608bfa04767191aa4d57bfd8,APPROVED,Not Applicable,2025-10-05T11:22:28.636000Z,2025-10-05T11:23:27.992000Z,2025-10-05T11:23:31.541000Z,2025-10-05T11:23:29.369050Z,60.0,C4H367G4,14031,42,Female,White,United States,United States,United States,English,No,Full-Time
68e254f62f904465f76726bc,672c7f537c4a19882d6f9e15,APPROVED,Not Applicable,2025-10-05T11:22:34.462000Z,2025-10-05T11:23:59.253000Z,2025-10-05T11:24:01.841000Z,2025-10-05T11:23:59.981662Z,85.0,C4H367G4,1838,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
68e254fb95f7374b45c70f6b,6234b2b5e6b80ea7060d458a,APPROVED,Not Applicable,2025-10-05T11:22:40.694000Z,2025-10-05T11:24:02.802000Z,2025-10-05T11:24:06.180000Z,2025-10-05T11:24:03.662286Z,83.0,C4H367G4,4792,68,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e254ffb042d6def0b39026,60dfd857e293a99dd577f4c8,APPROVED,Not Applicable,2025-10-05T11:22:49.794000Z,2025-10-05T11:24:25.475000Z,2025-10-05T11:24:26.358000Z,2025-10-05T11:24:27.631865Z,96.0,C4H367G4,11299,68,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e2550732055df5f0e1ab9a,60b4277a6c6540693acdd766,APPROVED,Not Applicable,2025-10-05T11:22:55.104000Z,2025-10-05T11:25:51.066000Z,2025-10-05T11:25:57.139000Z,2025-10-05T11:25:51.938462Z,176.0,C4H367G4,6142,69,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68e25508e569c1aa4cde8f74,67a745a370ec5dc821194d3d,APPROVED,Not Applicable,2025-10-05T11:22:55.343000Z,2025-10-05T11:24:08.263000Z,2025-10-05T11:24:10.358000Z,2025-10-05T11:24:16.594730Z,73.0,C4H367G4,1244,54,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e2550d551eaf15928cf8cb,67c78fbc58d20f4b7fe41479,APPROVED,Not Applicable,2025-10-05T11:23:10.446000Z,2025-10-05T11:24:36.776000Z,2025-10-05T11:24:37.626000Z,2025-10-05T11:24:40.725341Z,87.0,C4H367G4,1878,37,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e25514fdc0fcaa494c2711,63e6a6055e8b8b5638a9f861,APPROVED,Not Applicable,2025-10-05T11:23:08.387000Z,2025-10-05T11:28:32.571000Z,2025-10-05T11:28:34.386000Z,2025-10-05T11:28:33.386803Z,325.0,C4H367G4,1634,64,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
